23879,CUCHARAS       WATE SET SPINNER/BELL N.4,,712.31,1570,1,156312057N.4.,9999,9999
23880,CUCHARAS       WATE SET SPINNER/BELL N.5,,952.03,2100,1,156312057N.5.,9999,9999
23881,CUCHARAS       BLUE FOX BFDSV3 DEEP,,4.37,11,1,1563210578GRS,9999,9999
23882,CUCHARAS       BLUE FOX BFGVS2GL,,4.42,11,1,1563210586GRS,9999,9999
23883,PINZA          RAPALA RSSP6 PUNTA ACERO,,21.73,53,1,601320651RAPA,9999,9999
23884,PINZA          RAPALA RSSP8 PUNTA ACERO,,26.36,64,1,601320652RAPA,9999,9999
23885,REEL           RELIX X-SERIES 2000,,31.54,76,1,6.64E+12,9999,9999
23886,CUCHARAS       WEMPS ECO GIRATORIA,,6.33,15,1,156320651WEMP,9999,9999
23887,CAMISA     B   RAPALA 22201-2,,36.82,89,1,085320651CXS.,9999,9999
23888,CAMISA     B   RAPALA 22201-2,,36.82,89,1,085320651M...,9999,9999
23889,CAMISA     B   RAPALA 22201-2,,36.82,89,1,085320651L...,9999,9999
23890,CAMISA     B   RAPALA 22201-2,,36.82,89,1,085320651XL..,9999,9999
23891,CAMISA     B   RAPALA 22201-2,,36.82,89,1,085320651XXL.,9999,9999
23892,ACC.PESCA      TIJERA SUFIX MULTIFILAMEN,,3.92,10,1,008320971SUFI,9999,9999
23893,PINZA          RAPALA RCPLR6 DE PUNTA,,42.81,103,1,601320653RAPA,9999,9999
23894,PINZA          RAPALA RCPLR8 DE PUNTA,,46.67,113,1,601320654RAPA,9999,9999
23895,CAÑA           GREY GULL HIGH 906 4,,74.75,180,1,096321293MOSC,9999,9999
23896,CAÑA           GREY GULL HIGH 908 4,,83.88,202,1,096321294MOSC,9999,9999
23897,CARRETE        GREY GULL SERIE D 4-6,,45.36,109,1,1073212844-6.,9999,9999
23898,CARRETE        GREY GULL SERIE D 6-8,,50.96,123,1,1073212847-8.,9999,9999
23899,CUCHARAS       BLUE FOX BFMSV2 MINNOW,,4.42,11,1,1077210659GRS,9999,9999
23900,CHALECO    VB  RAPALA NEW 22002-1,,57.38,138,1,156320661XXL.,9999,9999
23901,REEL           EAGLE CLAW FEATHER LIGTH,,238.46,580,1,66422045050..,9999,9999
23902,REEL           COUGAR KILLER 201,,87.6,220,1,6.64E+11,9999,9999
23903,REEL           COUGAR KILLER 201,,93.05,230,1,6.64E+11,9999,9999
23904,CAÑA           COUGAR QUF 2704 L6 FLY,,484.76,1170,1,096320344L6..,9999,9999
23905,CAÑA           COUGAR QUF 2704 L7 FLY,,497.69,1195,1,096320344L7..,9999,9999
23906,CAÑA           COUGAR QUF 2704 L8 FLY,,509.04,1220,1,096320344L8..,9999,9999
23907,CAÑA           COUGAR MXF PAINT TEL.1803,,117.88,285,1,9.63E+11,9999,9999
23908,CAÑA           COUGAR MXF PAINT TEL.1953,,119.47,295,1,9.63E+11,9999,9999
23909,CAÑA           COUGAR MXF PAINT TEL.2103,,128.55,320,1,9.63E+11,9999,9999
23910,CAÑA           COUGAR WIT FV+GR 1802,,123.64,295,1,9.63E+11,9999,9999
