ID,NOMBRE,DESCRIPCION,COSTO,PRECIO,FK_MON,CODIGO,FK_PROV,FK_MARCA
13411,BOTA HIKING B  SALO MTREK LIGHT GTX,,847.5,1865,1,6071254412,9999,9999
13412,BOTA HIKING B  SALO MTREK LIGHT GTX,,847.5,1865,1,6071254413,9999,9999
13413,CHALECO    A   CRESTA CURVA DUVETINA LAD,,445,890,1,091709580T.1.,9999,9999
13414,CHALECO    A   CRESTA CURVA DUVETINA LAD,,445,890,1,091709580T.2.,9999,9999
13415,CHALECO    A   CRESTA CURVA DUVETINA LAD,,445,890,1,091709580T.3.,9999,9999
13416,CHALECO    A   CRESTA CURVA DUVETINA LAD,,445,890,1,091709580T.4.,9999,9999
13417,CHALECO    B   CRESTA CURVA DUVETINA MEN,,445,890,1,091709590T.1.,9999,9999
13418,CHALECO    B   CRESTA CURVA DUVETINA MEN,,445,890,1,091709590T.2.,9999,9999
13419,CHALECO    B   CRESTA CURVA DUVETINA MEN,,445,890,1,091709590T.3.,9999,9999
13420,CHALECO    B   CRESTA CURVA DUVETINA MEN,,445,890,1,091709590T.4.,9999,9999
13421,ANTEOJOS       RUSTY CCCP,,290,720,1,012704078CCCP,9999,9999
13422,ANTEOJOS       RUSTY ONE LOVE,,290,720,1,012704079LOVE,9999,9999
13423,ANTEOJOS       RUSTY RAYS,,290,720,1,012704080RAYS,9999,9999
13424,ANTEOJOS       RUSTY HUSY,,290,720,1,012704081HUSY,9999,9999
13425,ANTEOJOS       RUSTY POLIX,,290,720,1,012704082POLI,9999,9999
13426,ANTEOJOS       RUSTY I-LEGAL,,290,720,1,012704083ILEG,9999,9999
13427,ANTEOJOS       RUSTY SHEA,,290,720,1,012704086SHEA,9999,9999
13428,ANTEOJOS       RUSTY THE FEVER,,290,720,1,012704088FEVE,9999,9999
13429,ANTEOJOS       RUSTY TONY,,290,720,1,012704090TONY,9999,9999
13430,ANTEOJOS       OAKLEY SPIKE TITANIUM IR,,188,0,2,1.27E+11,9999,9999
13431,CAMISA     B   SALO CARRIP SHIRT M,,91,204,1,077712522CXS.,9999,9999
13432,CAMISA     B   SALO CARRIP SHIRT M,,91,204,1,077712522M...,9999,9999
13433,CAMISA     B   SALO CARRIP SHIRT M,,91,204,1,077712522L...,9999,9999
13434,CAMISA     B   SALO CARRIP SHIRT M,,91,204,1,077712522XL..,9999,9999
13435,CAMISE TEC A   SALO EVO SMART T W 460390,,67,149,1,079712513BXS.,9999,9999
13436,CAMISE TEC A   SALO EVO SMART T W 460390,,67,149,1,079712513CXS.,9999,9999
13437,CAMISE TEC A   SALO EVO SMART T W 460390,,67,149,1,079712513M...,9999,9999
13438,CAMISE TEC A   SALO EVO SMART T W 460390,,67,149,1,079712513L...,9999,9999
13439,CAMISE TEC A   SALO MOTOTT W,,49,295,1,666712502BXS.,9999,9999
13440,CAMISE TEC A   SALO MOTOTT W,,49,295,1,666712502CXS.,9999,9999
13441,CAMISE TEC A   SALO MOTOTT W,,49,295,1,666712502M...,9999,9999
13442,CAMISE TEC A   SALO MOTOTT W,,49,295,1,666712502L...,9999,9999
13443,PPANTALON  AB  SALO TERRA 46069.,,110,242,1,580712525T.56,9999,9999
13444,PPANTALON  AB  SALO TERRA 46069.,,110,242,1,580712525T.52,9999,9999
13445,PPANTALON  AB  SALO TERRA 46069.,,110,242,1,580712525T.50,9999,9999
13446,PPANTALON  AB  SALO TERRA 46069.,,110,242,1,580712525T.54,9999,9999
13447,CAMPERA    B   SALO WINDSTOP J MEN,,251,561,1,085712536CXS.,9999,9999
13448,CAMPERA    B   SALO WINDSTOP J MEN,,251,561,1,085712536M...,9999,9999
13449,CAMPERA    B   SALO WINDSTOP J MEN,,251,561,1,085712536L...,9999,9999
13450,CAMPERA    B   SALO WINDSTOP J MEN,,251,561,1,085712536XL..,9999,9999
13451,CAMPERA    A   SALO WINDSTOP J W,,241,539,1,085712517BXS.,9999,9999
13452,CAMPERA    A   SALO WINDSTOP J W,,241,539,1,085712517CXS.,9999,9999
13453,CAMPERA    A   SALO WINDSTOP J W,,241,539,1,085712517M...,9999,9999
13454,CAMPERA    A   SALO WINDSTOP J W,,241,539,1,085712517L...,9999,9999
13455,CALZA BIKE B   SALO XARAID SH TI 460737,,91,209,1,076712520CXS.,9999,9999
13456,CALZA BIKE B   SALO XARAID SH TI 460737,,91,209,1,076712520M...,9999,9999
13457,CALZA BIKE B   SALO XARAID SH TI 460737,,91,209,1,076712520L...,9999,9999
13458,CALZA BIKE B   SALO XARAID SH TI 460737,,91,209,1,076712520XL..,9999,9999
13459,PPANTALON  AA  SALO ZIP EXTAND W DES.,,115,253,1,580712503T.32,9999,9999
13460,PPANTALON  AA  SALO ZIP EXTAND W DES.,,115,253,1,580712503T.34,9999,9999
13461,PPANTALON  AA  SALO ZIP EXTAND W DES.,,115,253,1,580712503T.36,9999,9999
13462,PPANTALON  AA  SALO ZIP EXTAND W DES.,,115,253,1,580712503T.38,9999,9999
13463,PPANTALON  AA  SALO ZIP EXTAND W DES.,,115,253,1,580712503T.40,9999,9999
13464,PPANTALON  AA  SALO ZIP EXTAND W DES.,,115,253,1,580712503T.42,9999,9999
13465,PPANTALON  AA  SALO ZIP EXTAND W DES.,,115,253,1,580712503T.44,9999,9999
13466,PPANTALON  AB  SALO ZIP EXTAND DES.,,123,275,1,580712520T.56,9999,9999
13467,ACC.PESCA      OJO DE PAVO REAL,,9,18,1,008705001G001,9999,9999
13468,ACC.PESCA      COLA DE PAVO MOTEADO,,12.5,25,1,008705002G003,9999,9999
13469,ACC.PESCA      ALA DE PAVO MOTEADO,,12.5,25,1,008705003G004,9999,9999
13470,ACC.PESCA      COLA DE FAISAN DORADO,,12.5,25,1,008705004G005,9999,9999
13471,ACC.PESCA      COLA DE FAISAN DE COLLAR,,18.5,37,1,008705005G007,9999,9999
13472,ACC.PESCA      CUERO DE TERNERO,,12.5,25,1,008705006M03.,9999,9999
13473,ACC.PESCA      COLA DE TERNERO,,24,48,1,008705007M014,9999,9999
13474,ACC.PESCA      MASCARA DE LIEBRE NATURAL,,24,48,1,008705008M017,9999,9999
13475,ACC.PESCA      CONEJO EN TIRAS FINAS,,9,18,1,008705009C001,9999,9999
13476,ACC.PESCA      DUBBING DE LLAMA,,9,18,1,008705010C004,9999,9999
13477,ACC.PESCA      DUBBING DE CONEJO,,9,18,1,008705011C005,9999,9999
13478,ACC.PESCA      COLA DE ARDILLA,,24,48,1,008705012C011,9999,9999
13479,ACC.PESCA      FAISAN DORADO CRESTA,,9,18,1,008705013C016,9999,9999
13480,ACC.PESCA      FAISAN TENEBROSO LOMO,,9,18,1,008705014C027,9999,9999
13481,ACC.PESCA      FAISAN PLATEADO,,9,18,1,008705015C028,9999,9999
13482,ACC.PESCA      FAISAN LADY AMHERST,,12.5,25,1,008705016C029,9999,9999
13483,ACC.PESCA      GALLINA GUINEA FOWL,,9,18,1,008705017C031,9999,9999
13484,ACC.PESCA      GALLINA (HEN),,12.5,25,1,008705019C035,9999,9999
13485,ACC.PESCA      PERDIZ LATERAL,,9,18,1,008705018C032,9999,9999
13486,ACC.PESCA      GALLO COMUN LARGO,,12.5,25,1,008705020C036,9999,9999
13487,ACC.PESCA      PAVO REAL FIBRA,,9,18,1,008705021C039,9999,9999
13488,ACC.PESCA      PATO MALLARD LATERAL,,12.5,25,1,008705022C042,9999,9999
13489,ACC.PESCA      PATO MALLARD PRIM. DE ALA,,12.5,25,1,008705023C044,9999,9999
13490,ACC.PESCA      MARABOU,,12.5,25,1,008705024C046,9999,9999
13491,ACC.PESCA      CUL DU CANARD,,9,18,1,008705025C057,9999,9999
13492,ACC.PESCA      CORDON FINO PLATEADO,,9,18,1,008705026B004,9999,9999
13493,ACC.PESCA      HILO DE PLOMO,,9,18,1,008705027V006,9999,9999
13494,ACC.PESCA      CONE HEAD,,12.5,25,1,008705028V008,9999,9999
13495,ACC.PESCA      BEAD HEADS,,12.5,25,1,008705029V009,9999,9999
13496,ACC.PESCA      HILO DE COBRE,,9,18,1,008705030V010,9999,9999
13497,ACC.PESCA      CEMENTO PARA CABEZAS,,37.5,75,1,008705031V025,9999,9999
13498,BOLSA DE DORMIR SPINIT CLASSIC,,209.4,460,1,044808661+7..,9999,9999
13499,BOLSA DE DORMIR SPINIT MOMIA,,270.86,595,1,044808662-0..,9999,9999
13500,BOLSA DE DORMIR SPINIT FREESTYLE 350,,238.63,583,1,044808663-5..,9999,9999
13501,INFLADOR       SPINIT D.ACCION 2000CC,,159.67,350,1,2.76E+12,9999,9999
13502,HELADERA       SPINIT L-6,,97.78,230,1,265808661L-6.,9999,9999
13503,HELADERA       SPINIT L-8,,97.78,230,1,265808662L-8.,9999,9999
13504,BANCO          SPINIT PLEGABLE 4P,,93.5,230,1,039808661PLEG,9999,9999
13505,CATRE          DOITE PLEGABLE ALUM.59531,,491.39,1155,1,9.88E+11,9999,9999
13506,DUCHA SOLAR    DOITE 38 LTS. M.8534,,131.56,295,1,1.70E+12,9999,9999
13507,LINTERNA       SPINIT FRONTAL 3XEN+1LED,,68.63,160,1,4.08E+12,9999,9999
13508,LINTERNA       SPINIT FRONTAL 7 LED,,78,170,1,4.08E+12,9999,9999
13509,LINTERNA       SPINIT FRONTAL 3-1 LED,,77.09,180,1,4.08E+12,9999,9999
